10th & E St NW,199,15
10th & Florida Ave NW,274,19
10th & G St NW,334,23
10th & K St NW,159,23
10th & Monroe St NE,93,11
10th & U St NW,43,15
10th St & Constitution Ave NW,76,31
10th St & L'Enfant Plaza SW,400,23
11th & F St NW,125,15
11th & Girard St NW,484,19
11th & H St NE,111,19
11th & Kenyon St NW,16,27
11th & M St NW,115,19
11th & O St NW,399,19
11th & S St NW,367,23
12th & Army Navy Dr,9,11
12th & Irving St NE,237,15
12th & L St NW,186,19
12th & Newton St NE,73,11
12th & U St NW,242,31
12th St & Pennsylvania Ave SE,454,19
13th & D St NE,101,31
13th & H St NE,81,27
13th St & Eastern Ave,225,15
13th St & New York Ave NW,91,23
14th & Belmont St NW,272,15
14th & D St NW / Ronald Reagan Building,104,25
14th & D St SE,58,15
14th & G St NW,117,23
14th & Girard St NW,397,23
14th & Harvard St NW,19,19
14th & Irving St NW,418,31
14th & L St NW,390,19
14th & R St NW,24,19
14th & Rhode Island Ave NW,25,23
14th & Upshur St NW,217,19
14th & V St NW,15,27
14th St & Colorado Ave NW,218,19
14th St & New York Ave NW,69,23
14th St & Spring Rd NW,29,19
14th St Heights / 14th & Crittenden St NW,65,11
15th & Crystal Dr,4,11
15th & East Capitol St NE,233,11
15th & Euclid St  NW,230,15
15th & F St NE,236,19
15th & K St NW,193,27
15th & L St NW,348,23
15th & M St NW,483,19
15th & N Scott St,174,11
15th & P St NW,23,19
15th & W St NW,453,19
15th St & Constitution Ave NW,488,19
15th St & Massachusetts Ave SE,154,15
15th St & Pennsylvania Ave NW/Pershing Park,501,19
16th & Harvard St NW,17,33
16th & Irving St NW,386,19
16th & Q St SE / Anacostia HS,423,23
16th & R St NW,387,19
17th & Corcoran St NW,59,19
17th & G St NW,349,31
17th & K St NW,54,23
17th & K St NW / Farragut Square,106,35
17th St & Independence Ave SW,410,19
17th St & Massachusetts Ave NW,229,19
18th & C St NW,393,19
18th & Eads St.,2,11
18th & M St NW,79,27
18th & Monroe St NE,470,19
18th & R St NW,351,19
18th St & Pennsylvania Ave NW,141,27
18th St & Rhode Island Ave NE,235,15
18th St & Wyoming Ave NW,214,23
19th & E Street NW,41,11
19th & East Capitol St SE,32,15
19th & G St NW,357,23
19th & K St NW,188,23
19th & L St NW,86,15
19th & Savannah St SE,495,11
19th St & Constitution Ave NW,109,35
